date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:47:19	159822/159822	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2021%20Dec%202022%2022:28:25%20GMT	https://chanhleo.love/livewire/livewire.js?id=de3fca26689cb5a39af4	D:/Project/LandingPage/Wedding/chanhleo.love/livewire/livewire6b46.js	(from https://chanhleo.love/)
20:47:19	103032/103032	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2263bae7c5-19278%22	https://chanhleo.love/landing/fonts/icomoon/icomoon.eot?6iuir	D:/Project/LandingPage/Wedding/chanhleo.love/landing/fonts/icomoon/icomoonb103.eot	(from https://chanhleo.love/landing/css/icomoon.css)
20:47:19	102868/102868	---M--	200	added ('OK')	application/octet-stream	etag:%2263bae7c5-191d4%22	https://chanhleo.love/landing/fonts/icomoon/icomoon.ttf?6iuir	D:/Project/LandingPage/Wedding/chanhleo.love/landing/fonts/icomoon/icomoonb103.ttf	(from https://chanhleo.love/landing/css/icomoon.css)
20:47:19	102944/102944	---M--	200	added ('OK')	font/woff	etag:%2263bae7c5-19220%22	https://chanhleo.love/landing/fonts/icomoon/icomoon.woff?6iuir	D:/Project/LandingPage/Wedding/chanhleo.love/landing/fonts/icomoon/icomoonb103.woff	(from https://chanhleo.love/landing/css/icomoon.css)
20:47:20	365941/365941	---M--	200	added ('OK')	image/svg+xml	etag:%2263bae7c5-59575%22	https://chanhleo.love/landing/fonts/icomoon/icomoon.svg?6iuir	D:/Project/LandingPage/Wedding/chanhleo.love/landing/fonts/icomoon/icomoonb103.svg	(from https://chanhleo.love/landing/css/icomoon.css)
20:47:20	6603/6603	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Jul%202023%2013:32:14%20GMT	https://chanhleo.love/landing/css/owl.video.play.png	D:/Project/LandingPage/Wedding/chanhleo.love/landing/css/owl.video.play.png	(from https://chanhleo.love/landing/css/owl.carousel.min.css)
20:47:21	103032/103032	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2263bae7c5-19278%22	https://chanhleo.love/landing/fonts/icomoon/icomoon.eot?srf3rx	D:/Project/LandingPage/Wedding/chanhleo.love/landing/fonts/icomoon/icomoona57c.eot	(from https://chanhleo.love/landing/css/style.css)
20:47:21	102868/102868	---M--	200	added ('OK')	application/octet-stream	etag:%2263bae7c5-191d4%22	https://chanhleo.love/landing/fonts/icomoon/icomoon.ttf?srf3rx	D:/Project/LandingPage/Wedding/chanhleo.love/landing/fonts/icomoon/icomoona57c.ttf	(from https://chanhleo.love/landing/css/style.css)
20:47:21	102944/102944	---M--	200	added ('OK')	font/woff	etag:%2263bae7c5-19220%22	https://chanhleo.love/landing/fonts/icomoon/icomoon.woff?srf3rx	D:/Project/LandingPage/Wedding/chanhleo.love/landing/fonts/icomoon/icomoona57c.woff	(from https://chanhleo.love/landing/css/style.css)
20:47:21	365941/365941	---M--	200	added ('OK')	image/svg+xml	etag:%2263bae7c5-59575%22	https://chanhleo.love/landing/fonts/icomoon/icomoon.svg?srf3rx	D:/Project/LandingPage/Wedding/chanhleo.love/landing/fonts/icomoon/icomoona57c.svg	(from https://chanhleo.love/landing/css/style.css)
20:47:21	257104/257104	---M--	200	added ('OK')	application/octet-stream	etag:%2263cbc840-3ec50%22	https://chanhleo.love/landing/fonts/sacramento-vn/UNI_DA_Sacramento.ttf	D:/Project/LandingPage/Wedding/chanhleo.love/landing/fonts/sacramento-vn/UNI_DA_Sacramento.ttf	(from https://chanhleo.love/landing/css/style.css)
20:47:22	1039454/1039454	---M--	200	added ('OK')	image/jpeg	etag:%2263f467d5-fdc5e%22	https://chanhleo.love/landing/images/img_bg_2_vertical.jpg	D:/Project/LandingPage/Wedding/chanhleo.love/landing/images/img_bg_2_vertical.jpg	(from https://chanhleo.love/landing/css/style.css)
20:47:22	48068/48068	---M--	200	added ('OK')	image/gif	etag:%2263bae7c5-bbc4%22	https://chanhleo.love/landing/images/loader.gif	D:/Project/LandingPage/Wedding/chanhleo.love/landing/images/loader.gif	(from https://chanhleo.love/landing/css/style.css)
20:47:22	2332/2332	---M--	200	added ('OK')	font/woff2	etag:%2263dcc794-91c%22	https://chanhleo.love/landing/fonts/lg.woff2?io9a6k	D:/Project/LandingPage/Wedding/chanhleo.love/landing/fonts/lgb687.woff2	(from https://chanhleo.love/landing/css/lightgallery-bundle.css)
20:47:22	4756/4756	---M--	200	added ('OK')	application/octet-stream	etag:%2263dcc794-1294%22	https://chanhleo.love/landing/fonts/lg.ttf?io9a6k	D:/Project/LandingPage/Wedding/chanhleo.love/landing/fonts/lgb687.ttf	(from https://chanhleo.love/landing/css/lightgallery-bundle.css)
20:47:23	4832/4832	---M--	200	added ('OK')	font/woff	etag:%2263dcc794-12e0%22	https://chanhleo.love/landing/fonts/lg.woff?io9a6k	D:/Project/LandingPage/Wedding/chanhleo.love/landing/fonts/lgb687.woff	(from https://chanhleo.love/landing/css/lightgallery-bundle.css)
20:47:23	12834/12834	---M--	200	added ('OK')	image/svg+xml	etag:%2263dcc794-3222%22	https://chanhleo.love/landing/fonts/lg.svg?io9a6k	D:/Project/LandingPage/Wedding/chanhleo.love/landing/fonts/lgb687.svg	(from https://chanhleo.love/landing/css/lightgallery-bundle.css)
20:47:23	4178/4178	---M--	200	added ('OK')	image/gif	etag:%2263dcc753-1052%22	https://chanhleo.love/landing/images/loading.gif	D:/Project/LandingPage/Wedding/chanhleo.love/landing/images/loading.gif	(from https://chanhleo.love/landing/css/lightgallery-bundle.css)
20:47:24	70871/70871	---M--	200	added ('OK')	image/png	etag:%2263e670f8-114d7%22	https://chanhleo.love/landing/images/stk.png	D:/Project/LandingPage/Wedding/chanhleo.love/landing/images/stk.png	(from https://chanhleo.love/story)
